City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
510,Quatre Cocos,MU,82.09,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
515,Sampit,ID,81.75,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
528,Bambanglipuro,ID,80.83,broken clouds,-7.95,110.2833,Puri Brata
529,Alice Springs,AU,78.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
531,Nhulunbuy,AU,77.61,broken clouds,-12.2333,136.7667,East Arnhem Real Estate
532,Dingle,PH,78.48,clear sky,10.9995,122.6711,SEGAYA PROPERTY
539,Makokou,GA,80.26,overcast clouds,0.5738,12.8642,Hôtel
540,Savalou,BJ,80.22,overcast clouds,7.9281,1.9756,Hotel F&F
541,Wanning,CN,76.5,broken clouds,18.8003,110.3967,Paradise Hotel
543,Dawei,MM,82.92,broken clouds,14.0833,98.2,Hotel Dawei
550,Pedernales,DO,75.63,overcast clouds,18.0384,-71.744,Hotel Costa Marina
554,Chanika,TZ,82.38,scattered clouds,-5.4167,38.0167,New Rombo Green Hotel
555,Praia,CV,77.54,scattered clouds,14.9215,-23.5087,LT Aparthotel
561,Samarai,PG,80.1,overcast clouds,-10.6167,150.6667,Nuli Sapi
565,Waingapu,ID,81.39,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
570,Eydhafushi,MV,84.58,broken clouds,5.1033,73.0708,Soneva Fushi
578,Natal,BR,81.25,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
583,Almeirim,BR,75.61,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
588,Tabas,IR,75.42,overcast clouds,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
589,Marsh Harbour,BS,75.51,broken clouds,26.5412,-77.0636,Abaco Beach Resort
594,Point Pedro,LK,87.01,scattered clouds,9.8167,80.2333,Gtr homes
595,Pekan Nenas,MY,84.24,heavy intensity rain,1.51,103.5141,Village Custle
596,Mormugao,IN,85.06,clear sky,15.4,73.8,Coconut Creek Resort
603,Kanniyakumari,IN,86.36,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
606,Male,MV,84.54,broken clouds,4.1748,73.5089,Hotel Octave Maldives
607,Waddan,LY,78.48,clear sky,29.1614,16.139,محل الشريف محمد العايب
608,Sibolga,ID,77.32,light rain,1.7427,98.7792,Hotel Syariah CN Darussalam
609,Satun,TH,86.0,overcast clouds,6.8333,100.0,บ้านไทโฮมสเตย์&รีสอร์ท จ.สตูล
611,Mirador,BR,75.92,overcast clouds,-6.3708,-44.3631,Pousada Restaurante e Pizzaria Povo
612,Pitimbu,BR,82.99,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
613,Harper,LR,82.11,broken clouds,4.375,-7.7169,Screensaver
615,Wajir,KE,89.47,light rain,1.7471,40.0573,Al-bustan Hotel And Restaurant.
623,Malindi,KE,86.74,broken clouds,-3.2175,40.1191,African House Resort
628,Manono,CD,87.82,clear sky,-7.3,27.4167,Hotel hewa bora
629,Ipixuna,BR,75.24,overcast clouds,-1.7625,-48.8043,Chalé do Mato
630,Kulhudhuffushi,MV,84.72,few clouds,6.6221,73.07,Haajy Guest House 1
633,Roebourne,AU,87.49,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
638,Monrovia,LR,89.37,overcast clouds,6.3005,-10.7969,Sunset Inn
639,Yabelo,ET,76.28,overcast clouds,4.8833,38.0833,Asnakech W/michael
641,Dicabisagan,PH,77.09,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
644,Sola,VU,82.99,overcast clouds,-13.8833,167.55,Leumerus Bungalows
648,Basco,PH,77.77,scattered clouds,20.4487,121.9702,Nathaniel's Lodge
649,Amahai,ID,80.38,broken clouds,-3.3333,128.9167,HOTEL ISABELA
650,Ifakara,TZ,85.5,light rain,-8.1333,36.6833,Tanzanian Training Centre for International Health
652,Mporokoso,ZM,77.09,few clouds,-9.3727,30.125,Government Guest House
653,Turhal,TR,86.25,broken clouds,40.3875,36.0811,Hotel Grand Efe
659,Vero Beach,US,75.0,mist,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
660,Bukene,TZ,83.91,overcast clouds,-4.2333,32.8833,New Millenium Lodge
663,Ternate,ID,82.4,broken clouds,0.8,127.4,Sahid Bela Ternate Hotel
672,Takoradi,GH,83.89,light rain,4.8845,-1.7554,Raybow International Hotel
675,Tabou,CI,80.71,light rain,4.423,-7.3528,hotêl doufoulougou
677,Labuhan,ID,83.14,broken clouds,-6.8844,112.2051,DoubleFAG
679,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
686,Labuan,MY,84.56,few clouds,5.2767,115.2417,Tiara Labuan Hotel
688,Flic En Flac,MU,83.52,light rain,-20.2742,57.3631,Hilton Mauritius Resort & Spa
690,Fare,PF,80.49,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
