City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
152,Port Hedland,AU,-20.3167,118.5667,91.45,22,17,8.05,few clouds
153,Kavaratti,IN,10.5669,72.642,85.08,67,53,5.55,broken clouds
154,Lithakia,GR,37.7167,20.8333,60.08,82,75,10.36,broken clouds
155,Ajdabiya,LY,30.7554,20.2263,68.25,56,1,17.43,clear sky
156,Intipuca,SV,13.1969,-88.0544,79.16,75,98,1.9,overcast clouds
157,Deputatskiy,RU,69.3,139.9,5.67,98,92,3.36,overcast clouds
158,Zhoucheng,CN,35.9122,116.3117,55.35,71,44,6.78,scattered clouds
159,Orange Cove,US,36.6244,-119.3137,54.68,58,97,2.24,overcast clouds
160,Ambilobe,MG,-13.2,49.05,86.13,60,100,3.62,overcast clouds
161,Thompson,CA,55.7435,-97.8558,11.55,97,72,2.68,broken clouds
162,Broome,US,42.2506,-75.833,30.0,76,0,4.61,clear sky
163,Victoria,HK,22.2855,114.1577,72.25,79,97,8.99,overcast clouds
164,Roma,US,43.2128,-75.4557,30.87,91,0,6.91,clear sky
165,Sinjar,IQ,36.3209,41.8754,80.33,15,99,1.45,overcast clouds
166,Ruwi,OM,23.5996,58.5507,91.09,37,9,7.23,clear sky
167,New Norfolk,AU,-42.7826,147.0587,55.65,59,95,1.61,overcast clouds
168,Wonthaggi,AU,-38.6044,145.5913,58.82,92,100,5.28,moderate rain
169,Tuktoyaktuk,CA,69.4541,-133.0374,-6.83,100,70,5.75,broken clouds
170,Saint-Philippe,RE,-21.3585,55.7679,85.12,84,32,9.69,light rain
171,Verkhnyaya Inta,RU,65.9811,60.3094,34.39,98,100,17.11,light snow
172,Itamaraca,BR,-7.7478,-34.8256,84.25,64,87,6.13,overcast clouds
173,Ahipara,NZ,-35.1667,173.1667,67.96,91,100,9.26,overcast clouds
174,Saint-Joseph,RE,-21.3667,55.6167,84.11,83,28,4.59,light rain
175,Butaritari,KI,3.0707,172.7902,81.48,77,10,13.47,clear sky
176,Isangel,VU,-19.55,169.2667,78.46,87,100,7.4,light rain
177,Kampot,KH,10.6167,104.1833,75.25,72,89,3.71,light rain
178,Yeroham,IL,30.9872,34.9314,84.83,22,100,18.61,overcast clouds
179,Honiara,SB,-9.4333,159.95,77.76,88,87,4.43,moderate rain
180,Walvis Bay,NA,-22.9575,14.5053,74.57,49,57,7.83,broken clouds
181,Chuy,UY,-33.6971,-53.4616,61.83,86,100,5.17,overcast clouds
182,Gasa,PS,31.5,34.4667,71.83,63,100,11.59,overcast clouds
183,Santa Cruz,BO,-17.8,-63.1667,67.46,63,40,11.5,scattered clouds
184,Luena,AO,-11.7833,19.9167,74.34,71,98,6.31,light rain
185,Saint George,US,37.1041,-113.5841,54.19,20,0,3.44,clear sky
186,Kongolo,CD,-5.3833,27.0,88.61,49,8,6.98,clear sky
187,Korla,CN,41.7597,86.1469,71.28,9,0,10.33,clear sky
188,Marshall,US,34.3834,-86.3333,61.41,93,100,4.61,overcast clouds
189,Bell Ville,AR,-32.6259,-62.6887,52.54,86,0,6.58,clear sky
190,Port Moresby,PG,-9.4431,147.1797,78.96,86,98,3.83,overcast clouds
191,Faya,SA,18.3851,42.4509,79.32,19,5,10.8,clear sky
192,Gat,IL,31.61,34.7642,84.88,47,100,9.46,overcast clouds
193,Upernavik,GL,72.7868,-56.1549,-1.17,89,100,8.41,overcast clouds
194,Miraflores,MX,19.2167,-98.8083,66.02,39,47,2.48,scattered clouds
195,Ostrovnoy,RU,68.0531,39.5131,35.04,100,100,11.39,overcast clouds
196,Kupang,ID,-10.1667,123.5833,80.46,83,99,6.53,overcast clouds
197,Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,88,75,8.05,broken clouds
198,Tiarei,PF,-17.5333,-149.3333,77.02,73,7,5.77,clear sky
199,Taonan,CN,45.3333,122.7833,62.04,22,60,14.43,broken clouds
200,Meulaboh,ID,4.1363,96.1285,79.81,87,100,10.85,moderate rain
201,Hithadhoo,MV,-0.6,73.0833,84.09,71,44,6.51,scattered clouds
202,Saldanha,ZA,-33.0117,17.9442,67.03,53,15,9.89,few clouds
203,Ulladulla,AU,-35.35,150.4667,58.77,77,100,6.08,overcast clouds
204,Asmara,ER,15.3333,38.9333,75.24,26,0,11.95,clear sky
205,Waipawa,NZ,-41.4122,175.5153,52.74,87,3,10.18,clear sky
206,Kalmunai,LK,7.4167,81.8167,85.41,71,93,10.07,overcast clouds
207,Nuuk,GL,64.1835,-51.7216,23.61,80,75,6.91,broken clouds
208,Boundiali,CI,9.5217,-6.4869,85.6,52,100,7.43,overcast clouds
209,Cidreira,BR,-30.1811,-50.2056,66.47,76,36,9.73,scattered clouds
210,Chapais,CA,49.7834,-74.8492,20.98,96,94,2.33,overcast clouds
211,Esperance,AU,-33.8667,121.9,62.04,70,35,7.99,scattered clouds
212,Lavrentiya,RU,65.5833,-171.0,30.69,98,100,9.08,light snow
213,Hualmay,PE,-11.0964,-77.6139,64.33,92,24,6.78,few clouds
214,Tasiilaq,GL,65.6145,-37.6368,33.8,96,100,2.48,overcast clouds
215,Havelock,US,34.8791,-76.9013,64.92,78,100,14.0,overcast clouds
216,Zhanakorgan,KZ,43.9098,67.2495,80.08,22,100,21.27,overcast clouds
217,Axim,GH,4.8699,-2.2405,84.9,69,100,9.75,overcast clouds
218,Charagua,BO,-19.8,-63.2167,49.57,66,0,3.2,clear sky
219,Puerto Carreno,CO,6.189,-67.4859,75.54,91,100,5.19,light rain
220,Coihaique,CL,-45.5752,-72.0662,50.61,81,0,6.91,clear sky
221,Coolum Beach,AU,-26.5333,153.1,68.22,88,15,5.59,few clouds
222,Vrangel,RU,42.7297,133.0839,43.47,58,14,9.08,few clouds
223,Half Moon Bay,US,37.4636,-122.4286,47.32,81,0,5.75,clear sky
224,Hoi An,VN,15.8794,108.335,78.76,87,97,7.94,overcast clouds
225,Tazovskiy,RU,67.4667,78.7,22.84,92,100,19.77,overcast clouds
226,Price,US,39.5994,-110.8107,36.66,48,0,8.05,clear sky
227,Blackwater,AU,-23.5833,148.8833,69.04,62,0,11.45,clear sky
228,Emerald,AU,-23.5333,148.1667,73.35,42,0,11.45,clear sky
229,Qaanaaq,GL,77.484,-69.3632,-15.77,66,0,5.61,clear sky
230,Khatanga,RU,71.9667,102.5,12.67,90,100,13.09,overcast clouds
231,Kosa,RU,59.9445,54.9977,41.65,54,69,3.24,broken clouds
232,Soyo,AO,-6.1349,12.3689,83.26,77,93,7.09,light rain
233,Dikson,RU,73.5069,80.5464,10.89,90,100,15.26,overcast clouds
234,Kokopo,PG,-4.352,152.2633,79.3,83,100,4.74,overcast clouds
235,Srednekolymsk,RU,67.45,153.6833,22.24,92,100,6.78,overcast clouds
236,Flinders,AU,-34.5833,150.8552,67.17,84,100,5.01,overcast clouds
237,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,26.78,58,34,12.24,scattered clouds
238,Neftcala,AZ,39.3742,49.2472,60.48,63,0,15.41,clear sky
239,Channel-Port Aux Basques,CA,47.5702,-59.1367,33.33,97,82,30.49,broken clouds
240,Alofi,NU,-19.0595,-169.9187,76.89,94,40,4.61,scattered clouds
241,Bardiyah,LY,31.7561,25.0865,68.74,51,0,7.63,clear sky
242,Kodiak,US,57.79,-152.4072,35.87,77,98,11.59,overcast clouds
243,Ancud,CL,-41.8697,-73.8203,51.22,93,93,5.39,overcast clouds
244,Aksu,CN,41.1231,80.2644,73.38,9,0,4.12,clear sky
245,Norman Wells,CA,65.282,-126.8329,-0.24,97,36,3.91,scattered clouds
246,Ibi,ES,38.6253,-0.5723,67.35,58,100,6.96,overcast clouds
247,Vanavara,RU,60.34,102.2797,29.41,70,100,13.13,overcast clouds
248,Tuatapere,NZ,-46.1333,167.6833,50.61,90,100,5.35,overcast clouds
249,Bathsheba,BB,13.2167,-59.5167,79.41,73,40,17.27,scattered clouds
250,Mumford,GH,5.2618,-0.759,80.19,81,100,6.4,moderate rain
251,Dudinka,RU,69.4058,86.1778,18.63,95,100,15.55,light snow
252,Burnie,AU,-41.0667,145.9167,58.91,68,100,3.87,overcast clouds
253,Corrientes,AR,-27.4806,-58.8341,59.99,97,0,1.01,clear sky
254,Naples,IT,40.8333,14.25,63.12,33,0,10.36,clear sky
255,Assai,BR,-23.3733,-50.8414,62.46,84,24,7.61,few clouds
256,Lorengau,PG,-2.0226,147.2712,82.78,75,41,9.93,scattered clouds
257,Smolenka,RU,52.1352,113.4974,64.47,13,99,15.66,overcast clouds
258,Kaeo,NZ,-35.1,173.7833,69.33,98,100,11.97,overcast clouds
259,Leh,IN,34.1667,77.5833,50.54,25,21,6.53,few clouds
260,Ust-Nera,RU,64.5667,143.2,4.86,95,46,3.13,scattered clouds
261,Baia De Fier,RO,45.1667,23.7667,42.24,70,72,6.89,broken clouds
262,Tecoanapa,MX,16.5167,-98.75,74.44,66,81,2.84,broken clouds
263,Maniitsoq,GL,65.4167,-52.9,19.11,91,100,10.4,light snow
264,Quesnel,CA,52.9999,-122.5029,31.71,70,100,0.56,overcast clouds
265,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,63,89,13.65,overcast clouds
266,Sinnamary,GF,5.3833,-52.95,77.95,87,95,8.46,overcast clouds
267,Opuwo,NA,-18.0607,13.84,85.6,38,12,14.29,few clouds
268,Yar-Sale,RU,66.8333,70.8333,33.24,87,100,19.71,overcast clouds
269,Adre,TD,13.4667,22.2,92.53,28,89,7.74,overcast clouds
270,Matamoros,MX,25.5333,-103.25,69.58,62,28,4.74,scattered clouds
271,Zonguldak,TR,41.25,31.8333,47.25,90,100,4.56,overcast clouds
272,Portland,US,45.5234,-122.6762,50.04,72,100,6.91,overcast clouds
273,Yenotayevka,RU,47.2456,47.0281,69.76,31,100,23.49,overcast clouds
274,Saint-Pierre,RE,-21.3393,55.4781,85.19,78,100,5.75,overcast clouds
275,Cowra,AU,-33.8333,148.6833,62.44,59,100,4.18,overcast clouds
276,Ijui,BR,-28.3878,-53.9147,58.84,84,39,4.21,scattered clouds
277,Papayal,PE,-4.0761,-80.7361,68.27,75,85,3.62,overcast clouds
278,Kathu,TH,7.9178,98.3332,80.42,72,100,3.09,overcast clouds
279,Guerrero,MX,17.6667,-100.0,69.94,32,98,4.45,overcast clouds
280,Cockburn Town,TC,21.4612,-71.1419,77.7,81,99,20.47,overcast clouds
281,Mahon,ES,39.8885,4.2658,68.56,45,0,4.61,clear sky
282,Xiongzhou,CN,25.1167,114.3,56.26,95,100,3.13,overcast clouds
283,Boden,SE,65.8252,21.6886,42.8,99,100,2.37,overcast clouds
284,College,US,64.8569,-147.8028,21.18,61,0,8.05,clear sky
285,Taseyevo,RU,57.2169,94.8978,37.81,67,100,10.45,overcast clouds
286,Novyy Urengoy,RU,66.0833,76.6333,27.34,89,98,17.81,overcast clouds
287,Lamu,KE,-2.2717,40.902,84.0,74,84,13.56,light rain
288,Berwick,US,41.0545,-76.2333,37.31,82,41,3.89,scattered clouds
289,North Myrtle Beach,US,33.816,-78.68,61.05,93,100,6.91,mist
290,Ranfurly,NZ,-45.1333,170.1,49.33,71,96,3.02,overcast clouds
291,North Vanlaiphai,IN,23.1333,93.0667,75.96,41,52,5.48,broken clouds
292,Shubarkuduk,KZ,49.1447,56.4872,66.78,31,36,4.18,scattered clouds
293,Troitskoye,RU,52.9821,84.6757,63.79,49,100,8.88,overcast clouds
294,Urumqi,CN,43.801,87.6005,79.75,5,0,15.66,clear sky
295,Atambua,ID,-9.1061,124.8925,75.85,89,77,3.62,broken clouds
296,Bayonet Point,US,28.3267,-82.6834,74.95,94,68,1.99,broken clouds
297,Aginskoye,RU,51.1,114.53,59.95,33,81,8.63,broken clouds
298,Haines Junction,CA,60.7522,-137.5108,12.67,87,91,3.44,overcast clouds
299,Hendaye,FR,43.3717,-1.7738,61.27,76,75,5.75,broken clouds
300,Katsuura,JP,35.1333,140.3,59.02,94,100,12.35,overcast clouds
301,Avera,US,33.194,-82.5271,64.54,98,100,6.4,light rain
302,Komatipoort,ZA,-25.4332,31.9548,64.85,95,100,4.85,moderate rain
303,Diffa,NE,13.3154,12.6113,96.35,23,97,15.48,overcast clouds
304,Pimenteiras,BR,-6.2453,-41.4192,75.6,88,75,3.76,broken clouds
305,Chibuto,MZ,-24.6867,33.5306,71.33,88,99,12.26,light rain
306,San Carlos,VE,9.6612,-68.5827,74.1,84,99,1.81,light rain
307,Dalianwan,CN,39.0286,121.695,60.84,20,0,4.47,clear sky
308,Lasa,IT,46.6166,10.7002,55.36,60,8,5.57,clear sky
309,Margate,GB,51.3813,1.3862,60.31,72,89,3.74,overcast clouds
310,Narsaq,GL,60.9167,-46.05,34.02,73,19,5.97,few clouds
311,Beringovskiy,RU,63.05,179.3167,26.44,99,100,4.43,light snow
312,Sao Benedito Do Rio Preto,BR,-3.3336,-43.5283,77.63,90,99,1.41,overcast clouds
313,Sur,OM,22.5667,59.5289,88.12,50,0,6.96,clear sky
314,Vostok,RU,46.4856,135.8833,27.01,73,37,4.45,scattered clouds
315,Moron,AR,-34.6534,-58.6198,64.15,91,99,5.44,overcast clouds
316,Biloxi,US,30.396,-88.8853,68.05,90,20,0.0,few clouds
317,Udgir,IN,18.3833,77.1167,101.73,11,22,8.28,few clouds
318,Secunda,ZA,-26.55,29.1667,64.33,69,55,1.99,broken clouds
319,Lima,PE,-12.0432,-77.0282,57.45,94,100,3.44,light intensity drizzle
320,Sobolevo,RU,54.4299,31.8996,40.6,87,100,14.2,light rain
321,Dawlatabad,AF,36.4141,64.9053,58.32,78,94,12.53,light rain
322,Rocha,UY,-34.4833,-54.3333,59.59,86,100,3.13,overcast clouds
323,Lincoln,US,40.8,-96.667,37.56,51,40,19.57,scattered clouds
