City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
127,Concepcion,CL,2022-04-18 04:21:14,-36.827,-73.0498,48.0,93,40,0.0
128,Iqaluit,CA,2022-04-18 04:20:53,63.7506,-68.5145,-11.47,77,20,6.91
129,Ridgeland,US,2022-04-18 04:16:56,32.4285,-90.1323,64.24,95,75,0.0
130,Bluff,NZ,2022-04-18 04:21:15,-46.6,168.3333,62.8,66,84,2.89
131,Lasa,IT,2022-04-18 04:21:15,46.6166,10.7002,33.37,69,3,3.91
132,Luderitz,NA,2022-04-18 04:21:15,-26.6481,15.1594,69.12,50,0,6.93
133,Kavieng,PG,2022-04-18 04:21:16,-2.5744,150.7967,86.05,63,36,13.06
134,Bethel,US,2022-04-18 04:21:16,41.3712,-73.414,39.94,66,0,0.0
135,Pedernales,DO,2022-04-18 04:21:16,18.0384,-71.744,77.52,70,98,6.85
136,Dambulla,LK,2022-04-18 04:21:17,7.86,80.6517,85.69,62,65,7.63
137,Inhambane,MZ,2022-04-18 04:22:17,-23.865,35.3833,73.38,94,75,0.0
138,Dzerzhinsk,RU,2022-04-18 04:22:17,56.2389,43.4631,33.62,80,0,6.71
139,Olafsvik,IS,2022-04-18 04:22:18,64.8945,-23.7142,41.94,72,99,10.65
140,Verkhnechusovskiye Gorodki,RU,2022-04-18 04:22:18,58.1671,57.1086,34.86,69,82,7.2
141,Saint George,US,2022-04-18 04:22:18,37.1041,-113.5841,72.19,16,0,5.75
142,Rochester,US,2022-04-18 04:18:01,43.1548,-77.6156,37.62,71,0,3.44
143,Mekhe,SN,2022-04-18 04:22:19,15.1097,-16.6218,65.03,87,7,14.47
144,Namibe,AO,2022-04-18 04:22:19,-15.1961,12.1522,72.91,76,45,0.4
145,Damghan,IR,2022-04-18 04:22:19,36.1683,54.348,50.85,46,1,4.68
146,Ornskoldsvik,SE,2022-04-18 04:22:20,63.2909,18.7153,31.15,100,89,3.44
147,Norden,DE,2022-04-18 04:22:20,53.6,7.2,42.94,75,0,11.25
148,Raudeberg,NO,2022-04-18 04:22:20,61.9875,5.1352,43.86,77,96,7.52
149,Souillac,MU,2022-04-18 04:22:20,-20.5167,57.5167,75.58,100,40,5.75
150,Marsh Harbour,BS,2022-04-18 04:22:21,26.5412,-77.0636,75.79,83,43,12.35
151,Ribeira Grande,PT,2022-04-18 04:22:21,38.5167,-28.7,58.08,66,51,20.56
152,Khatanga,RU,2022-04-18 04:22:21,71.9667,102.5,10.69,89,96,15.99
153,Ojinaga,MX,2022-04-18 04:22:22,29.5667,-104.4167,78.42,11,0,11.5
154,Tagusao,PH,2022-04-18 04:22:22,9.1924,117.8141,85.62,69,58,7.85
155,Sao Joao Da Barra,BR,2022-04-18 04:22:22,-21.6403,-41.0511,67.87,81,2,9.75
156,Brae,GB,2022-04-18 04:18:53,60.3964,-1.353,45.77,83,92,23.73
157,Bavly,RU,2022-04-18 04:22:23,54.393,53.2602,45.9,89,94,5.68
158,Poum,NC,2022-04-18 04:22:23,-20.2333,164.0167,77.47,71,100,6.87
159,Alberton,CA,2022-04-18 04:22:23,46.8168,-64.0654,37.31,84,5,17.36
160,Buala,SB,2022-04-18 04:22:24,-8.145,159.5921,81.57,80,86,7.61
161,Camacha,PT,2022-04-18 04:17:41,33.0833,-16.3333,58.42,77,40,18.41
162,Bredasdorp,ZA,2022-04-18 04:22:24,-34.5322,20.0403,61.12,89,100,5.08
163,Hasaki,JP,2022-04-18 04:22:24,35.7333,140.8333,64.8,68,100,10.94
164,Le Port,RE,2022-04-18 04:22:25,-20.9373,55.2919,78.8,84,7,6.2
165,Carmona,PH,2022-04-18 04:22:25,14.3,121.0167,91.74,58,73,14.83
166,Analipsis,GR,2022-04-18 04:22:25,35.3167,25.5667,61.11,86,49,7.78
167,Ancud,CL,2022-04-18 04:22:25,-41.8697,-73.8203,55.22,90,92,6.71
168,Yaan,NG,2022-04-18 04:22:26,7.3833,8.5667,75.15,83,100,6.33
169,Narodychi,UA,2022-04-18 04:22:26,51.2029,29.0823,31.69,92,70,6.62
170,Castro,BR,2022-04-18 04:22:26,-24.7911,-50.0119,50.02,98,17,4.9
171,Klaksvik,FO,2022-04-18 04:22:27,62.2266,-6.589,47.32,89,100,26.13
172,Deputatskiy,RU,2022-04-18 04:22:27,69.3,139.9,11.77,89,98,4.18
173,Villa Carlos Paz,AR,2022-04-18 04:22:27,-31.4241,-64.4978,58.39,49,0,1.99
174,Acapulco,MX,2022-04-18 04:22:28,16.8634,-99.8901,78.62,78,0,4.61
175,Nichinan,JP,2022-04-18 04:22:28,31.6,131.3667,65.88,48,100,4.85
176,Omboue,GA,2022-04-18 04:22:28,-1.5746,9.2618,77.11,92,100,3.02
177,Severo-Kurilsk,RU,2022-04-18 04:22:29,50.6789,156.125,31.77,85,93,8.12
178,Berbera,SO,2022-04-18 04:22:29,10.4396,45.0143,83.3,72,4,4.12
179,Avera,US,2022-04-18 04:22:29,33.194,-82.5271,67.51,95,99,3.0
180,Evensk,RU,2022-04-18 04:22:29,61.95,159.2333,30.11,90,100,4.85
181,Esperance,AU,2022-04-18 04:22:30,-33.8667,121.9,64.67,61,44,10.22
